Microsoft (R) COFF Binary File Dumper Version 5.12.8078
Copyright (C) Microsoft Corp 1992-1998. All rights reserved.


Dump of file kernel32.dll

File Type: DLL

  Section contains the following exports for KERNEL32.dll

           0 characteristics
    48025BE1 time date stamp Sun Apr 13 23:45:45 2008
        0.00 version
           1 ordinal base
         953 number of functions
         953 number of names

    ordinal hint RVA      name

          1    0 0000A6D4 ActivateActCtx
          2    1 00035505 AddAtomA
          3    2 000326D9 AddAtomW
          4    3 00071CDF AddConsoleAliasA
          5    4 00071CA1 AddConsoleAliasW
          6    5 00059382 AddLocalAlternateComputerNameA
          7    6 00059266 AddLocalAlternateComputerNameW
          8    7 0002BEF9 AddRefActCtx
          9    8          AddVectoredExceptionHandler (forwarded to NTDLL.RtlAddVectoredExceptionHandler)
         10    9 00072331 AllocConsole
         11    A 0005F61A AllocateUserPhysicalPages
         12    B 00035967 AreFileApisANSI
         13    C 0002E442 AssignProcessToJobObject
         14    D 00072519 AttachConsole
         15    E 000571CA BackupRead
         16    F 000562B0 BackupSeek
         17   10 00057825 BackupWrite
         18   11 00016867 BaseCheckAppcompatCache
         19   12 0006CDE6 BaseCleanupAppcompatCache
         20   13 0006CE6A BaseCleanupAppcompatCacheSupport
         21   14 0006CCA1 BaseDumpAppcompatCache
         22   15 0006CC1F BaseFlushAppcompatCache
         23   16 0001655D BaseInitAppcompatCache
         24   17 0002B375 BaseInitAppcompatCacheSupport
         25   18 000174D3 BaseProcessInitPostImport
         26   19 00038372 BaseQueryModuleData
         27   1A 000151B0 BaseUpdateAppcompatCache
         28   1B 000195A3 BasepCheckWinSaferRestrictions
         29   1C 00037A8F Beep
         30   1D 00070C9B BeginUpdateResourceA
         31   1E 00070AF8 BeginUpdateResourceW
         32   1F 0002C024 BindIoCompletionCallback
         33   20 0006BECD BuildCommDCBA
         34   21 0006BE9F BuildCommDCBAndTimeoutsA
         35   22 0006BEFF BuildCommDCBAndTimeoutsW
         36   23 0006BF59 BuildCommDCBW
         37   24 00060CD6 CallNamedPipeA
         38   25 00060A87 CallNamedPipeW
         39   26 00061A9F CancelDeviceWakeupRequest
         40   27 000300CA CancelIo
         41   28 00063DF8 CancelTimerQueueTimer
         42   29 0002CC01 CancelWaitableTimer
         43   2A 000127B3 ChangeTimerQueueTimer
         44   2B 00061959 CheckNameLegalDOS8Dot3A
         45   2C 00061719 CheckNameLegalDOS8Dot3W
         46   2D 0005AA22 CheckRemoteDebuggerPresent
         47   2E 00067CD1 ClearCommBreak
         48   2F 0006655F ClearCommError
         49   30 0001D3DE CloseConsoleHandle
         50   31 00009BD7 CloseHandle
         51   32 0002C865 CloseProfileUserMapping
         52   33 0002F5F9 CmdBatNotification
         53   34 00067851 CommConfigDialogA
         54   35 0006775D CommConfigDialogW
         55   36 00010B69 CompareFileTime
         56   37 0000D107 CompareStringA
         57   38 0000A3EE CompareStringW
         58   39 0003144B ConnectNamedPipe
         59   3A 00072FDF ConsoleMenuControl
         60   3B 0005B46D ContinueDebugEvent
         61   3C 000383E7 ConvertDefaultLocale
         62   3D 0002FEC7 ConvertFiberToThread
         63   3E 0002FF06 ConvertThreadToFiber
         64   3F 000286D6 CopyFileA
         65   40 0005F2CC CopyFileExA
         66   41 00027B1A CopyFileExW
         67   42 0002F863 CopyFileW
         68   43 0005980A CopyLZFile
         69   44 0006C785 CreateActCtxA
         70   45 000154EC CreateActCtxW
         71   46 00074088 CreateConsoleScreenBuffer
         72   47 00021794 CreateDirectoryA
         73   48 0005C143 CreateDirectoryExA
         74   49 0005B4FA CreateDirectoryExW
         75   4A 000323EA CreateDirectoryW
         76   4B 0003089D CreateEventA
         77   4C 0000A739 CreateEventW
         78   4D 0002FF9F CreateFiber
         79   4E 0002FFBF CreateFiberEx
         80   4F 00001A28 CreateFileA
         81   50 000094EE CreateFileMappingA
         82   51 00009420 CreateFileMappingW
         83   52 000107F0 CreateFileW
         84   53 0006C609 CreateHardLinkA
         85   54 0006C44C CreateHardLinkW
         86   55 00031375 CreateIoCompletionPort
         87   56 0006C36C CreateJobObjectA
         88   57 0002CAFB CreateJobObjectW
         89   58 0006C33E CreateJobSet
         90   59 0002CC83 CreateMailslotA
         91   5A 0002CCD4 CreateMailslotW
         92   5B 00039672 CreateMemoryResourceNotification
         93   5C 0000E9CF CreateMutexA
         94   5D 0000E947 CreateMutexW
         95   5E 00060B7C CreateNamedPipeA
         96   5F 0002F0C5 CreateNamedPipeW
         97   60 0002AC54 CreateNlsSecurityDescriptor
         98   61 0001D827 CreatePipe
         99   62 0000236B CreateProcessA
        100   63 0001D536 CreateProcessInternalA
        101   64 0001979C CreateProcessInternalW
        102   65 000806F8 CreateProcessInternalWSecure
        103   66 00002336 CreateProcessW
        104   67 000104BC CreateRemoteThread
        105   68 00012EAD CreateSemaphoreA
        106   69 00010116 CreateSemaphoreW
        107   6A 0006C674 CreateSocketHandle
        108   6B 0006C12E CreateTapePartition
        109   6C 000106C7 CreateThread
        110   6D 0002BFCE CreateTimerQueue
        111   6E 00021165 CreateTimerQueueTimer
        112   6F 00065B1F CreateToolhelp32Snapshot
        113   70 0003494A CreateVirtualBuffer
        114   71 00062AC1 CreateWaitableTimerA
        115   72 0002FB42 CreateWaitableTimerW
        116   73 0000A705 DeactivateActCtx
        117   74 0005B02B DebugActiveProcess
        118   75 0005B4B1 DebugActiveProcessStop
        119   76 0005AA76 DebugBreak
        120   77 0005B07E DebugBreakProcess
        121   78 0005B0A5 DebugSetProcessKillOnExit
        122   79          DecodePointer (forwarded to NTDLL.RtlDecodePointer)
        123   7A          DecodeSystemPointer (forwarded to NTDLL.RtlDecodeSystemPointer)
        124   7B 0005D1CD DefineDosDeviceA
        125   7C 00021F06 DefineDosDeviceW
        126   7D 0007EECD DelayLoadFailureHook
        127   7E 000326AD DeleteAtom
        128   7F          DeleteCriticalSection (forwarded to NTDLL.RtlDeleteCriticalSection)
        129   80 0002FE74 DeleteFiber
        130   81 00031EC5 DeleteFileA
        131   82 00031F4B DeleteFileW
        132   83 00063DCB DeleteTimerQueue
        133   84 00063D84 DeleteTimerQueueEx
        134   85 00021118 DeleteTimerQueueTimer
        135   86 0006B0BE DeleteVolumeMountPointA
        136   87 0006A910 DeleteVolumeMountPointW
        137   88 00001629 DeviceIoControl
        138   89 00011326 DisableThreadLibraryCalls
        139   8A 0001272F DisconnectNamedPipe
        140   8B 00058A2B DnsHostnameToComputerNameA
        141   8C 0002CEAA DnsHostnameToComputerNameW
        142   8D 00032168 DosDateTimeToFileTime
        143   8E 000627D9 DosPathToSessionPathA
        144   8F 0002C1DF DosPathToSessionPathW
        145   90 0001D4AD DuplicateConsoleHandle
        146   91 0000DE8E DuplicateHandle
        147   92          EncodePointer (forwarded to NTDLL.RtlEncodePointer)
        148   93          EncodeSystemPointer (forwarded to NTDLL.RtlEncodeSystemPointer)
        149   94 00070969 EndUpdateResourceA
        150   95 00070792 EndUpdateResourceW
        151   96          EnterCriticalSection (forwarded to NTDLL.RtlEnterCriticalSection)
        152   97 00038229 EnumCalendarInfoA
        153   98 00076769 EnumCalendarInfoExA
        154   99 0007979D EnumCalendarInfoExW
        155   9A 0007977A EnumCalendarInfoW
        156   9B 000767AA EnumDateFormatsA
        157   9C 000767CA EnumDateFormatsExA
        158   9D 000797C0 EnumDateFormatsExW
        159   9E 000387F9 EnumDateFormatsW
        160   9F 00076808 EnumLanguageGroupLocalesA
        161   A0 00079723 EnumLanguageGroupLocalesW
        162   A1 0002DFF8 EnumResourceLanguagesA
        163   A2 00060539 EnumResourceLanguagesW
        164   A3 00060131 EnumResourceNamesA
        165   A4 00055A51 EnumResourceNamesW
        166   A5 0005FF44 EnumResourceTypesA
        167   A6 00060351 EnumResourceTypesW
        168   A7 00076847 EnumSystemCodePagesA
        169   A8 0007975F EnumSystemCodePagesW
        170   A9 00079BF9 EnumSystemGeoID
        171   AA 000767EA EnumSystemLanguageGroupsA
        172   AB 00079705 EnumSystemLanguageGroupsW
        173   AC 00037CF9 EnumSystemLocalesA
        174   AD 00079744 EnumSystemLocalesW
        175   AE 0007678C EnumTimeFormatsA
        176   AF 000388D6 EnumTimeFormatsW
        177   B0 00076829 EnumUILanguagesA
        178   B1 0002A8C4 EnumUILanguagesW
        179   B2 0005897F EnumerateLocalComputerNamesA
        180   B3 000587FF EnumerateLocalComputerNamesW
        181   B4 0006C0FB EraseTape
        182   B5 00066771 EscapeCommFunction
        183   B6 0001CAFA ExitProcess
        184   B7 0000C0E8 ExitThread
        185   B8 00068675 ExitVDM
