common sizes (mm)

0.2
0.35
0.4
0.5
0.75
0.8
0.9

1.5
2.2
2.5
3
4
5.1
6
--------------------------------------------------
mm gauge inch conversion

mm	gauge	inch
0.12	40	0.0048
0.13	39	0.0052
0.15	38	0.006
0.17	37	0.0068
0.19	36	0.0076
0.21	35	0.0084
0.23	34	0.0092
0.25	33	0.01
0.27	32	0.0108
0.29	31	0.0116
0.31	30	0.0124
0.34	29	0.0136
0.37	28	0.0148
0.42	27	0.0164
0.45	26	0.018
0.5	25	0.02
0.6	23	0.024
0.7	22	0.028
0.8	21	0.032
0.9	20	0.036
1	19	0.04
1.2	18	0.048
1.4	17	0.056
1.6	16	0.064
1.8	15	0.072
2	14	0.08
2.3	13	0.092
2.6	12	0.104
2.9	11	0.116
3.2	10	0.128
3.7	9	0.144
4.1	8	0.16
4.5	7	0.176
4.9	6	0.192
5.4	5	0.212
5.9	4	0.232
6.4	3	0.252
7	2	0.276
7.6	1	0.3
8.2	0	0.324
--------------------------------------------------
