increase brush size		f
decrease brush size		d
lighten painting color		shift f
darken painting color		shift d
increase rotation		shift alt f
decrease rotation		shift alt d

increase brush opacity 		s
decrease brush opacity		a
increase saturation		shift s
decrease saturation		shift a
increase pressure		shift alt s
decrease pressure		shift alt a

change color (fast)		v
change color			shift v
color history			c
color palette			shift c

change brush			b

freehand			p
lines and curves		k
	angle				ctrl
	curve				shit
connected line			j
ellipses and circles		o
flood fill			g
inking				i
